Base_Model,Quantization,Direction,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Mean_Abs_Challenge_Effect,chrF_Mean_Abs_Challenge_Effect,COMET_Max_Positive_Challenge_Effect,chrF_Max_Positive_Challenge_Effect
Llama Krikri 8B,Int8,GR-EN,0.87843,0.630751,0.878883,0.633978,0.000453,0.003226,0.000682,0.002315,0.001416,0.005887
Llama Krikri 8B,Int8 A8W8,GR-EN,0.879688,0.63669,0.878883,0.633978,-0.000805,-0.002713,0.006791,0.015954,0.011414,0.022772
Llama Krikri 8B,Int8 Bookends,GR-EN,0.878801,0.631695,0.878883,0.633978,8.2e-05,0.002282,0.001666,0.002399,0.002095,0.003964
Llama Krikri 8B,Nf4,GR-EN,0.878383,0.626984,0.878883,0.633978,0.0005,0.006993,0.00198,0.007042,0.003024,0.008798
Mistral 7B,2bit 10% Fast Spqr,All,0.537932,0.272385,0.711362,0.40661,0.17343,0.134225,0.014615,0.01908,0.00527,0.02804
Mistral 7B,2bit 5% Spqr,All,0.434952,0.209051,0.711362,0.40661,0.27641,0.197559,0.020285,0.012796,0.005146,0.016481
Mistral 7B,4bit K-Means,All,0.474534,0.250032,0.711362,0.40661,0.236828,0.156578,0.022725,0.038893,0.033556,0.062667
Mistral 7B,4bit Omniquant,All,0.682595,0.389227,0.711362,0.40661,0.028767,0.017383,0.016479,0.009939,0.004444,0.001631
Mistral 7B,4bit Optimized GPTQ,All,0.679435,0.387608,0.711362,0.40661,0.031927,0.019002,0.023319,0.004098,0.00923,0.001797
Mistral 7B,4bit Spinquant,All,0.689828,0.38955,0.711362,0.40661,0.021534,0.01706,0.018752,0.003202,-0.000598,0.00019
Mistral 7B,4bit Static GPTQ,All,0.694861,0.399373,0.711362,0.40661,0.016501,0.007236,0.014447,0.005772,-0.005177,-0.004364
Mistral 7B,4bit True GPTQ,All,0.692706,0.396859,0.711362,0.40661,0.018656,0.009751,0.015893,0.007075,0.000423,-0.000387
Mistral 7B,Analytical Net Mngr 3.7GB,All,0.607995,0.330941,0.711362,0.40661,0.103367,0.075669,0.021094,0.011923,0.01739,0.018818
Mistral 7B,Empirical Net Mngr 3.7GB,All,0.630091,0.345161,0.711362,0.40661,0.081271,0.061449,0.009406,0.012241,0.011611,0.021297
Mistral 7B,Fp4,All,0.697787,0.392814,0.711362,0.40661,0.013575,0.013796,0.018337,0.007963,0.003662,0.001976
Mistral 7B,Fp4 AWQ,All,0.700043,0.397875,0.711362,0.40661,0.011319,0.008735,0.010557,0.010491,-8.7e-05,-0.003621
Mistral 7B,Fp8,All,0.712753,0.406698,0.711362,0.40661,-0.001391,-8.8e-05,0.007522,0.001338,0.011288,-0.000845
Mistral 7B,Fp8 Per Tensor,All,0.708039,0.406995,0.711362,0.40661,0.003323,-0.000385,0.009343,0.002848,0.002829,0.000801
Mistral 7B,Full Model,All,0.711362,0.40661,0.711362,0.40661,0.0,0.0,0.0,0.0,0.0,0.0
Mistral 7B,Int2 Batch16,All,0.384843,0.176402,0.711362,0.40661,0.326519,0.230207,0.008029,0.026617,0.013954,0.055916
Mistral 7B,Int4,All,0.686116,0.391752,0.711362,0.40661,0.025246,0.014858,0.015281,0.003371,0.001633,0.001109
Mistral 7B,Int4 AWQ,All,0.689696,0.396646,0.711362,0.40661,0.021667,0.009964,0.018767,0.007967,0.007628,0.010103
Mistral 7B,Int8,All,0.709014,0.406717,0.711362,0.40661,0.002348,-0.000107,0.004427,0.001753,0.00012,0.000892
Mistral 7B,Int8 A8W8,All,0.70752,0.406377,0.711362,0.40661,0.003842,0.000233,0.014034,0.004492,0.002027,0.003197
Mistral 7B,Int8 Bookends,All,0.709058,0.405638,0.711362,0.40661,0.002305,0.000972,0.006775,0.002004,0.003191,0.002498
Mistral 7B,Nf4,All,0.697049,0.401964,0.711362,0.40661,0.014313,0.004646,0.018691,0.007419,0.002752,0.003073
Mistral 7B,2bit 10% Fast Spqr,EN-GR,0.416924,0.202124,0.615746,0.322921,0.198822,0.120797,0.022048,0.01385,0.001974,0.014194
Mistral 7B,2bit 5% Spqr,EN-GR,0.337801,0.16576,0.615746,0.322921,0.277945,0.157161,0.050475,0.028844,0.015701,0.013686
Mistral 7B,4bit K-Means,EN-GR,0.442899,0.235891,0.615746,0.322921,0.172848,0.08703,0.03171,0.016207,0.002839,0.017693
Mistral 7B,4bit Omniquant,EN-GR,0.569999,0.299408,0.615746,0.322921,0.045747,0.023513,0.02212,0.019342,0.007516,0.0102
Mistral 7B,4bit Optimized GPTQ,EN-GR,0.571014,0.303617,0.615746,0.322921,0.044733,0.019304,0.036649,0.016385,0.011439,-0.001099
Mistral 7B,4bit Spinquant,EN-GR,0.586244,0.305995,0.615746,0.322921,0.029503,0.016926,0.037382,0.010381,0.002526,0.000175
Mistral 7B,4bit Static GPTQ,EN-GR,0.587118,0.310163,0.615746,0.322921,0.028629,0.012758,0.016595,0.011501,-0.002896,0.005237
Mistral 7B,4bit True GPTQ,EN-GR,0.588207,0.313586,0.615746,0.322921,0.027539,0.009335,0.028653,0.01042,0.00896,0.006164
Mistral 7B,Analytical Net Mngr 3.7GB,EN-GR,0.521659,0.268512,0.615746,0.322921,0.094087,0.054409,0.035003,0.026864,0.01319,0.011287
Mistral 7B,Empirical Net Mngr 3.7GB,EN-GR,0.545237,0.285938,0.615746,0.322921,0.070509,0.036984,0.009348,0.010799,0.001206,-0.002336
Mistral 7B,Fp4,EN-GR,0.597752,0.307535,0.615746,0.322921,0.017994,0.015386,0.031887,0.015787,0.001208,0.001815
Mistral 7B,Fp4 AWQ,EN-GR,0.597294,0.306251,0.615746,0.322921,0.018452,0.01667,0.021031,0.020439,-0.001247,0.004268
Mistral 7B,Fp8,EN-GR,0.61595,0.323488,0.615746,0.322921,-0.000204,-0.000567,0.010523,0.005288,0.017184,-0.000773
Mistral 7B,Fp8 Per Tensor,EN-GR,0.608162,0.322598,0.615746,0.322921,0.007584,0.000323,0.018645,0.00975,0.000929,-0.00104
Mistral 7B,Full Model,EN-GR,0.615746,0.322921,0.615746,0.322921,0.0,0.0,0.0,0.0,0.0,0.0
Mistral 7B,Int2 Batch16,EN-GR,0.306839,0.140558,0.615746,0.322921,0.308908,0.182363,0.04819,0.022743,0.021528,-0.002158
Mistral 7B,Int4,EN-GR,0.581403,0.306971,0.615746,0.322921,0.034344,0.01595,0.021871,0.013232,0.006001,0.000837
Mistral 7B,Int4 AWQ,EN-GR,0.576113,0.309482,0.615746,0.322921,0.039634,0.013439,0.026372,0.016456,0.00778,0.013315
Mistral 7B,Int8,EN-GR,0.610159,0.323183,0.615746,0.322921,0.005587,-0.000262,0.007675,0.003663,-0.001776,0.001489
Mistral 7B,Int8 A8W8,EN-GR,0.607694,0.319102,0.615746,0.322921,0.008052,0.00382,0.028765,0.005826,0.002353,-2.9e-05
Mistral 7B,Int8 Bookends,EN-GR,0.614562,0.322791,0.615746,0.322921,0.001184,0.00013,0.016505,0.009075,0.006427,0.00185
Mistral 7B,Nf4,EN-GR,0.59436,0.317453,0.615746,0.322921,0.021386,0.005469,0.031498,0.010531,0.00218,0.001446
Mistral 7B,2bit 10% Fast Spqr,GR-EN,0.65894,0.342645,0.806978,0.490299,0.148038,0.147653,0.014288,0.024029,0.029358,0.047827
Mistral 7B,2bit 5% Spqr,GR-EN,0.532104,0.252342,0.806978,0.490299,0.274874,0.237957,0.004973,0.018865,-0.000952,0.031778
Mistral 7B,4bit K-Means,GR-EN,0.50617,0.264173,0.806978,0.490299,0.300808,0.226125,0.030849,0.034281,0.056979,0.077698
Mistral 7B,4bit Omniquant,GR-EN,0.795191,0.479046,0.806978,0.490299,0.011787,0.011253,0.008144,0.003474,0.010664,6.8e-05
Mistral 7B,4bit Optimized GPTQ,GR-EN,0.787857,0.471599,0.806978,0.490299,0.019121,0.0187,0.008368,0.00852,0.007021,0.011726
Mistral 7B,4bit Spinquant,GR-EN,0.793413,0.473106,0.806978,0.490299,0.013565,0.017193,0.004098,0.00368,0.000343,0.006958
Mistral 7B,4bit Static GPTQ,GR-EN,0.802604,0.488584,0.806978,0.490299,0.004374,0.001715,0.008337,0.009072,-0.006623,0.006801
Mistral 7B,4bit True GPTQ,GR-EN,0.797205,0.480132,0.806978,0.490299,0.009772,0.010166,0.007852,0.010552,0.003321,-0.006938
Mistral 7B,Analytical Net Mngr 3.7GB,GR-EN,0.694331,0.39337,0.806978,0.490299,0.112647,0.096928,0.01807,0.022564,0.034048,0.031201
Mistral 7B,Empirical Net Mngr 3.7GB,GR-EN,0.714944,0.404385,0.806978,0.490299,0.092033,0.085914,0.01014,0.013672,0.013073,0.022144
Mistral 7B,Fp4,GR-EN,0.797821,0.478092,0.806978,0.490299,0.009157,0.012206,0.005862,0.001569,0.006116,0.002137
Mistral 7B,Fp4 AWQ,GR-EN,0.802791,0.489499,0.806978,0.490299,0.004187,0.0008,0.002117,0.009168,0.001073,0.00759
Mistral 7B,Fp8,GR-EN,0.809556,0.489909,0.806978,0.490299,-0.002578,0.00039,0.004773,0.002952,0.007064,0.003112
Mistral 7B,Fp8 Per Tensor,GR-EN,0.807917,0.491392,0.806978,0.490299,-0.000939,-0.001093,0.003999,0.004154,0.004728,0.007346
Mistral 7B,Full Model,GR-EN,0.806978,0.490299,0.806978,0.490299,0.0,0.0,0.0,0.0,0.0,0.0
Mistral 7B,Int2 Batch16,GR-EN,0.462848,0.212247,0.806978,0.490299,0.34413,0.278052,0.021192,0.035556,0.055941,0.08763
Mistral 7B,Int4,GR-EN,0.79083,0.476533,0.806978,0.490299,0.016148,0.013766,0.004671,0.005662,-0.001151,0.00953
Mistral 7B,Int4 AWQ,GR-EN,0.803279,0.48381,0.806978,0.490299,0.003699,0.006489,0.005168,0.004494,0.007475,0.006891
Mistral 7B,Int8,GR-EN,0.807869,0.490251,0.806978,0.490299,-0.000891,4.8e-05,0.001504,0.00065,0.002016,0.00144
Mistral 7B,Int8 A8W8,GR-EN,0.807346,0.493652,0.806978,0.490299,-0.000368,-0.003354,0.00282,0.005539,0.001701,0.006424
Mistral 7B,Int8 Bookends,GR-EN,0.803553,0.488485,0.806978,0.490299,0.003425,0.001813,0.002832,0.006654,0.003958,0.007491
Mistral 7B,Nf4,GR-EN,0.799738,0.486476,0.806978,0.490299,0.00724,0.003823,0.006472,0.005288,0.003323,0.0047
NLLB 3.3B,2bit 1% Spqr,All,0.853395,0.523535,0.87841,0.569121,0.025015,0.045585,0.005809,0.007503,0.00764,-0.002253
NLLB 3.3B,2bit 10% Fast Spqr,All,0.879002,0.57023,0.87841,0.569121,-0.000592,-0.001109,0.00564,0.00495,0.003538,-0.001039
NLLB 3.3B,4bit K-Means,All,0.884548,0.584201,0.87841,0.569121,-0.006138,-0.01508,0.00537,0.01173,-0.002413,6e-05
NLLB 3.3B,4bit Omniquant,All,0.885161,0.578491,0.87841,0.569121,-0.006751,-0.00937,0.004038,0.008814,7.2e-05,-0.002555
NLLB 3.3B,4bit Optimized GPTQ,All,0.885544,0.58406,0.87841,0.569121,-0.007134,-0.014939,0.006313,0.012196,-0.002828,-0.002238
NLLB 3.3B,4bit Spinquant,All,0.884759,0.58249,0.87841,0.569121,-0.006349,-0.013369,0.003406,0.011729,-5e-05,-0.004248
NLLB 3.3B,4bit Static GPTQ,All,0.884895,0.581695,0.87841,0.569121,-0.006485,-0.012575,0.005326,0.014167,-0.00295,-0.011002
NLLB 3.3B,4bit True GPTQ,All,0.886253,0.585096,0.87841,0.569121,-0.007844,-0.015975,0.003846,0.006811,0.001242,0.00202
NLLB 3.3B,Analytical Net Mngr 2.2GB,All,0.883054,0.575403,0.87841,0.569121,-0.004645,-0.006282,0.004137,0.011258,-0.001416,-0.001069
NLLB 3.3B,Empirical Net Mngr 2GB,All,0.873815,0.553771,0.87841,0.569121,0.004595,0.015349,0.004095,0.008063,0.000706,0.002433
NLLB 3.3B,Fp4,All,0.88616,0.581929,0.87841,0.569121,-0.007751,-0.012809,0.004045,0.014009,-0.001345,-0.008977
NLLB 3.3B,Fp4 AWQ,All,0.886736,0.583283,0.87841,0.569121,-0.008327,-0.014162,0.003442,0.010569,0.001063,-0.00568
NLLB 3.3B,Fp8,All,0.886366,0.58474,0.87841,0.569121,-0.007956,-0.015619,0.0041,0.01293,-0.000488,-0.006333
NLLB 3.3B,Fp8 Per Tensor,All,0.885014,0.58365,0.87841,0.569121,-0.006604,-0.014529,0.005705,0.012543,-0.001185,-0.003477
NLLB 3.3B,Full Model,All,0.87841,0.569121,0.87841,0.569121,0.0,0.0,0.0,0.0,0.0,0.0
NLLB 3.3B,Int2 Batch16,All,0.831237,0.495933,0.87841,0.569121,0.047173,0.073188,0.011101,0.006125,0.006314,0.001465
NLLB 3.3B,Int4,All,0.887439,0.584916,0.87841,0.569121,-0.009029,-0.015795,0.004835,0.011525,0.001326,-0.002445
NLLB 3.3B,Int4 AWQ,All,0.886077,0.584198,0.87841,0.569121,-0.007668,-0.015077,0.004504,0.009749,-0.002409,-0.000927
NLLB 3.3B,Int8,All,0.88604,0.584466,0.87841,0.569121,-0.00763,-0.015345,0.004179,0.010842,0.000446,-0.003389
NLLB 3.3B,Int8 A8W8,All,0.886623,0.583949,0.87841,0.569121,-0.008213,-0.014828,0.004352,0.015164,0.000539,-0.009856
NLLB 3.3B,Int8 Bookends,All,0.886567,0.585659,0.87841,0.569121,-0.008157,-0.016538,0.004419,0.011821,0.00106,-0.002945
NLLB 3.3B,Nf4,All,0.88592,0.58347,0.87841,0.569121,-0.007511,-0.01435,0.005397,0.015374,-0.001644,-0.007176
NLLB 3.3B,2bit 1% Spqr,EN-GR,0.844334,0.460417,0.891594,0.537937,0.04726,0.07752,0.019416,0.026052,0.03409,0.028345
NLLB 3.3B,2bit 10% Fast Spqr,EN-GR,0.880976,0.518546,0.891594,0.537937,0.010618,0.019391,0.004325,0.008658,0.006924,0.013856
NLLB 3.3B,4bit K-Means,EN-GR,0.887192,0.531535,0.891594,0.537937,0.004402,0.006402,0.002494,0.0025,0.00302,0.006041
NLLB 3.3B,4bit Omniquant,EN-GR,0.888832,0.524715,0.891594,0.537937,0.002762,0.013222,0.003801,0.009217,0.005554,0.02242
NLLB 3.3B,4bit Optimized GPTQ,EN-GR,0.887225,0.529318,0.891594,0.537937,0.004369,0.008619,0.002022,0.003293,0.001181,0.004854
NLLB 3.3B,4bit Spinquant,EN-GR,0.888034,0.531266,0.891594,0.537937,0.00356,0.006671,0.002445,0.005103,0.005971,0.006726
NLLB 3.3B,4bit Static GPTQ,EN-GR,0.887104,0.528353,0.891594,0.537937,0.00449,0.009584,0.002095,0.00731,0.002155,0.008199
NLLB 3.3B,4bit True GPTQ,EN-GR,0.890692,0.533629,0.891594,0.537937,0.000902,0.004307,0.003438,0.00813,0.006556,0.012614
NLLB 3.3B,Analytical Net Mngr 2.2GB,EN-GR,0.887029,0.522156,0.891594,0.537937,0.004565,0.015781,0.002554,0.006155,0.003762,0.012298
NLLB 3.3B,Empirical Net Mngr 2GB,EN-GR,0.878419,0.504474,0.891594,0.537937,0.013175,0.033463,0.007728,0.014188,0.011577,0.016422
NLLB 3.3B,Fp4,EN-GR,0.890422,0.531054,0.891594,0.537937,0.001172,0.006882,0.002953,0.003529,0.004828,0.003205
NLLB 3.3B,Fp4 AWQ,EN-GR,0.89125,0.531376,0.891594,0.537937,0.000344,0.006561,0.00339,0.007639,0.005986,0.012364
NLLB 3.3B,Fp8,EN-GR,0.889796,0.532153,0.891594,0.537937,0.001798,0.005784,0.001894,0.003904,0.002771,0.003315
NLLB 3.3B,Fp8 Per Tensor,EN-GR,0.887504,0.530036,0.891594,0.537937,0.00409,0.007901,0.002092,0.001092,0.000302,0.001673
NLLB 3.3B,Full Model,EN-GR,0.891594,0.537937,0.891594,0.537937,0.0,0.0,0.0,0.0,0.0,0.0
NLLB 3.3B,Int2 Batch16,EN-GR,0.817658,0.430915,0.891594,0.537937,0.073936,0.107022,0.012763,0.007344,0.012376,0.014631
NLLB 3.3B,Int4,EN-GR,0.891245,0.531343,0.891594,0.537937,0.000349,0.006594,0.003788,0.003697,0.004191,0.008556
NLLB 3.3B,Int4 AWQ,EN-GR,0.889541,0.531411,0.891594,0.537937,0.002053,0.006526,0.002734,0.006107,0.004509,0.00748
NLLB 3.3B,Int8,EN-GR,0.890114,0.532534,0.891594,0.537937,0.00148,0.005403,0.000847,0.00195,0.00173,0.002979
NLLB 3.3B,Int8 A8W8,EN-GR,0.891062,0.532626,0.891594,0.537937,0.000532,0.005311,0.002392,0.005408,0.004185,0.001287
NLLB 3.3B,Int8 Bookends,EN-GR,0.89078,0.534344,0.891594,0.537937,0.000814,0.003593,0.0016,0.002161,0.003762,0.004822
NLLB 3.3B,Nf4,EN-GR,0.88991,0.530338,0.891594,0.537937,0.001685,0.007598,0.001962,0.003046,0.001428,0.002818
NLLB 3.3B,2bit 1% Spqr,GR-EN,0.862456,0.586654,0.865225,0.600305,0.00277,0.01365,0.006953,0.015987,0.004887,0.016668
NLLB 3.3B,2bit 10% Fast Spqr,GR-EN,0.877029,0.621914,0.865225,0.600305,-0.011803,-0.02161,0.006171,0.012519,0.007542,0.007519
NLLB 3.3B,4bit K-Means,GR-EN,0.881904,0.636867,0.865225,0.600305,-0.016679,-0.036563,0.006206,0.017534,0.003641,0.007943
NLLB 3.3B,4bit Omniquant,GR-EN,0.88149,0.632267,0.865225,0.600305,-0.016264,-0.031963,0.006501,0.012614,0.006271,0.004281
NLLB 3.3B,4bit Optimized GPTQ,GR-EN,0.883863,0.638801,0.865225,0.600305,-0.018638,-0.038497,0.00649,0.015252,0.003154,0.007369
NLLB 3.3B,4bit Spinquant,GR-EN,0.881484,0.633714,0.865225,0.600305,-0.016258,-0.033409,0.005662,0.012315,0.004887,0.002333
NLLB 3.3B,4bit Static GPTQ,GR-EN,0.882685,0.635037,0.865225,0.600305,-0.01746,-0.034733,0.005793,0.013098,0.003168,0.001035
NLLB 3.3B,4bit True GPTQ,GR-EN,0.881815,0.636562,0.865225,0.600305,-0.01659,-0.036257,0.006221,0.014096,0.005493,0.012056
NLLB 3.3B,Analytical Net Mngr 2.2GB,GR-EN,0.87908,0.628649,0.865225,0.600305,-0.013854,-0.028345,0.006399,0.017841,0.003905,0.010011
NLLB 3.3B,Empirical Net Mngr 2GB,GR-EN,0.86921,0.603069,0.865225,0.600305,-0.003985,-0.002765,0.003189,0.017106,0.002315,0.019893
NLLB 3.3B,Fp4,GR-EN,0.881899,0.632804,0.865225,0.600305,-0.016674,-0.0325,0.006513,0.014587,0.004693,6.6e-05
NLLB 3.3B,Fp4 AWQ,GR-EN,0.882223,0.635189,0.865225,0.600305,-0.016997,-0.034885,0.00651,0.015797,0.00465,0.004094
NLLB 3.3B,Fp8,GR-EN,0.882935,0.637326,0.865225,0.600305,-0.01771,-0.037022,0.006523,0.013588,0.00558,0.004969
NLLB 3.3B,Fp8 Per Tensor,GR-EN,0.882524,0.637264,0.865225,0.600305,-0.017298,-0.03696,0.006423,0.014645,0.005148,0.005556
NLLB 3.3B,Full Model,GR-EN,0.865225,0.600305,0.865225,0.600305,0.0,0.0,0.0,0.0,0.0,0.0
NLLB 3.3B,Int2 Batch16,GR-EN,0.844815,0.560951,0.865225,0.600305,0.02041,0.039354,0.008416,0.02458,0.016949,0.031787
NLLB 3.3B,Int4,GR-EN,0.883632,0.638488,0.865225,0.600305,-0.018407,-0.038183,0.006555,0.016708,0.005342,0.009019
NLLB 3.3B,Int4 AWQ,GR-EN,0.882614,0.636985,0.865225,0.600305,-0.017388,-0.036681,0.005604,0.016311,0.003114,0.007651
NLLB 3.3B,Int8,GR-EN,0.881966,0.636397,0.865225,0.600305,-0.016741,-0.036093,0.006032,0.011945,0.005343,0.004122
NLLB 3.3B,Int8 A8W8,GR-EN,0.882184,0.635271,0.865225,0.600305,-0.016958,-0.034967,0.006837,0.014347,0.005556,0.001447
NLLB 3.3B,Int8 Bookends,GR-EN,0.882353,0.636973,0.865225,0.600305,-0.017128,-0.036669,0.00721,0.01607,0.006085,0.006609
NLLB 3.3B,Nf4,GR-EN,0.881931,0.636602,0.865225,0.600305,-0.016706,-0.036298,0.005573,0.01644,0.002593,0.002187
